Id,Modulo,Nodo,Punto,Especie,Genero,Epiteto,Sexo,Edad,Est Reprod,LP,LO,LCO,LCU,LT,LV,Peso (g),Fecha,Obs
24,1,64,A5,Reithrodontomys fulvescens,Reithrodontomys,fulvescens,M,Juv,TE,17.5,10.9,79,55,134,24.5,8,2/18/2022,Sin parasitos
25,1,64,A6,Peromyscus sp.,Peromyscus,morfo 1,H,Ad,MD,21.6,18.2,100,82,182,41.8,24,2/18/2022,"Morfo café-amarillo. Preñada, sin parasitos."
1,1,64,,Liomys irroratus,Liomys ,irroratus,,,,,,,0,,,,2/18/2022,Recaptura
5,1,64,,Peromyscus sp.,,,,,,,,,0,,,,2/18/2022,Recaptura
16,1,64,,Peromyscus sp.,Peromyscus,morfo 1,,,,,,,0,,,,2/18/2022,Recaptura
19,1,64,,Peromyscus sp.,,,,,,,,,0,,,,2/18/2022,Recaptura
6,1,64,,Peromyscus sp.,,,,,,,,,0,,,,2/18/2022,Recaptura
,1,64,B4,,,,,,,,,,0,,,,,
26,1,64,A10,Peromyscus sp.,,,H,Juv,SC,19.3,17.8,75,65,140,35.1,11,2/18/2022,Sin parasitos
27,1,64,A7,Liomys irroratus,Liomys ,irroratus,H,Ad,MD,29.5,16.2,142,98,240,33,39,2/18/2022,Sin parasitos
28,1,64,B5,Peromyscus sp.,,,H,Juv,SC,20,14.7,76,70,146,34.1,13,2/18/2022,Sin parasitos
29,1,64,D1,Peromyscus sp.,Peromyscus,morfo 1,M,Juv,TI,20.5,15.7,105,70,175,35.3,17,2/18/2022,Morfo café-amarillo. Sin parasitos
30,1,64,D4,Reithrodontomys fulvescens,Reithrodontomys,fulvescens,H,Juv,SC,18.5,11.3,96,60,156,29.4,9,2/18/2022,Sin parasitos. Sin fotos
31,1,64,D8,Peromyscus sp.,,,H,Ad,MD,20.1,15.8,92,83,175,36.8,14,2/18/2022,Sin parasitos
10,1,64,,Liomys irroratus,Liomys ,irroratus,H,,TE,,,,0,,,49,2/18/2022,
32,1,64,C4,Peromyscus sp.,,morfo 1,H,,,20.5,16.9,84,80,164,33.5,18,2/18/2022,Morfo gris 
33,1,64,C5,Peromyscus sp.,Peromyscus,morfo 1,H,Ad,MD,19.5,16.6,93,90,183,39.1,22,2/18/2022,Morfo café-amarillo
34,1,64,E5,Peromyscus sp.,Peromyscus,morfo 1,H,Ad,MD,20.3,16.6,86,90,176,34.2,26,2/18/2022,Morfo café amarillo
35,1,64,E9,Peromyscus sp.,Peromyscus,morfo 1,H,Ad,MD,18.6,15.6,89,80,169,31.7,28,2/18/2022,Morfo café-amarillo. Preñada
,1,64,C6,Peromyscus sp.,,,H,Ad,,,,,0,,,,,Se voló
36,1,64,A2,Liomys irroratus,Liomys ,irroratus,H,Ad,SA,28.3,14.1,114,89,203,40.9,35,2/19/2022,Sin parasitos
37,1,64,A3,Peromyscus sp.,Peromyscus,morfo 1,M,Cría,TI,19.3,12.5,57,50,107,29,8,2/19/2022,"Morfo gris, sin parasitos. Tener en cuenta cambios en coloracón en crías"
38,1,64,A5,Peromyscus sp.,Peromyscus,morfo 1,M,Juv,TI,19.7,16.8,93,75,168,39.5,18,2/19/2022,Morfo café-amarillo
39,1,64,A8,Peromyscus sp.,Peromyscus,morfo 1,H,Juv,SC,18.9,16.9,94,55,149,39.6,18,2/19/2022,Morfo café-amarillo
40,1,64,A9,Peromyscus sp.,Peromyscus,morfo 1,H,Juv,SC,20.8,17.2,95,60,155,41,18,2/19/2022,Presenta muesca en oreja derecha. Morfo café-amarillo. Sin parasito
41,1,64,A10,Peromyscus sp.,Peromyscus,morfo 1,M,Juv,,19.9,14.7,98,52,150,35.8,11,2/19/2022,"Morfo gris, con flanco amarillo"
42,1,64,B3,Peromyscus sp.,Peromyscus,morfo 1,H,Juv,SC,20.8,15.6,86,79,165,36.2,21,2/19/2022,"Morfo gris, flanco con coloración amarilla"
43,1,64,B5,Liomys irroratus,,,M?,,,28.8,13.7,120,85,205,35.3,40,2/19/2022,Rectificar sexo
44,1,64,B7,Peromyscus sp.,,,M,Juv,TI,18.8,14.7,81,60,141,30.5,19,2/19/2022,Sin parasitos
45,1,64,B10,Peromyscus sp.,Peromyscus,morfo 1,M,Ad,TE,18.5,17.5,15.17,75,90.17,37.8,27,2/19/2022,Morfo amarillo café. Muesca en oreja derecha
46,1,64,C?,Peromyscus sp.,,morfo 1,H,Juv,SC,20,15.4,81,80,161,42,24,2/19/2022,Morfo gris 
47,1,64,C4,??,,,H,Ad,MD,19,15.2,84,63,147,33.4,31,2/19/2022,Lactando
48,1,64,C9,Peromyscus sp.,,,H,Ad,Preñada,19.9,15.5,90,72,162,39.3,35,2/19/2022,
—,1,64,C10,—,,,,,,,,,,,,,2/19/2022,Recaptura
49,1,64,D6,Liomys irroratus,Liomys ,irroratus,M,Juv,,28.6,13.5,95,66,161,32.8,20,2/19/2022,Revisar sexado
50,1,64,E2,Liomys irroratus,Liomys ,irroratus,M,Juv,,28.9,13.2,106,77,183,32.2,37,2/19/2022,
51,1,64,E5,Reithrodontomys fulvescens,Reithrodontomys,fulvescens,H,Juv,SC,16,10.6,81,56,137,27.1,10,2/19/2022,
52,1,64,E8,Peromyscus sp.,Peromyscus,morfo 1,H,Ad,MD,18.8,13.2,94,70,164,37.5,21,2/19/2022,Morfo café-amarillo. Preñada
53,1,64,E10,Peromyscus sp.,Peromyscus,morfo 1,M,Ad,TE,18.9,18.1,110,75,185,38.9,27,2/19/2022,"Individuo mayor. Morfo café-amarillo, Dorso gris, cola bicoloreada, cola con pelo en punta. Punta del pelo amarillo-crema. Cola lastimada"
54,0,58,A4,Peromyscus sp.,Peromyscus,morfo 1,H,Juv,SC,21,16.3,90,68,158,35.3,20,2/22/2022,Morfo gris con flanco amarillo
55,0,58,C6,Peromyscus sp.,Peromyscus,morfo 1,M,Ad,TE,21.5,17.4,93,90,183,43.8,31,2/22/2022,Morfo café-amarillo. Cola mocha
56,0,58,D2,Peromyscus sp.,Peromyscus,morfo 1,M,Juv,TI,20,15.4,91,70,161,32.7,23,2/22/2022,"Morfo gris, flanco amarillo"
57,0,58,D1,Peromyscus sp.,,,H,Juv,SC,18.9,15.1,95,70,165,41,23,2/23/2022,Morfo café
56,0,58,D2,Peromyscus sp.,Peromyscus,morfo 1,,,,,,,0,,,,2/23/2022,Recaptura
